year,total_goals,attendance_avg
1930,3.888888888888889,32808
1934,4.117647058823529,21353
1938,4.666666666666667,20872
1950,4.0,47511
1954,5.384615384615385,29562
1958,3.6,23423
1962,2.78125,27912
1966,2.78125,48848
1970,2.96875,50124
1974,2.5526315789473686,49099
1978,2.6842105263157894,40679
1982,2.8076923076923075,40572
1986,2.5384615384615383,46039
1990,2.2115384615384617,48389
1994,2.7115384615384617,68991
1998,2.671875,45367
2002,2.515625,42271
2006,2.296875,52384
2010,2.265625,49670
2014,2.671875,53592
2018,2.640625,47371
2022,2.6875,53191
