team,home_score_total,home_xg_total,away_score_total,away_xg_total,total_goals,total_xg,performance_vs_xg
Argentina,12,12.9,9,7.1,21,20.0,1.0
Australia,1,1.5,5,4.0,6,5.5,0.5
Belgium,14,13.0,3,5.2,17,18.2,-1.1999999999999993
Brazil,13,17.3,3,6.4,16,23.700000000000003,-7.700000000000003
Cameroon,4,2.7,0,0.7,4,3.4000000000000004,0.5999999999999996
Canada,1,1.4,1,2.8,2,4.199999999999999,-2.1999999999999993
Colombia,2,1.6,4,2.4,6,4.0,2.0
Costa Rica,2,2.2,3,1.7000000000000002,5,3.9000000000000004,1.0999999999999996
Croatia,12,10.3,10,7.8,22,18.1,3.8999999999999986
Denmark,1,2.4,3,3.1,4,5.5,-1.5
Ecuador,1,0.9,3,2.9,4,3.8,0.20000000000000018
Egypt,0,0.3,2,2.2,2,2.5,-0.5
England,16,10.0,9,9.9,25,19.9,5.100000000000001
France,23,18.1,7,4.800000000000001,30,22.900000000000002,7.099999999999998
Germany,3,5.9,5,9.7,8,15.6,-7.6
Ghana,0,1.6,5,2.5,5,4.1,0.9000000000000004
Iceland,1,2.1,1,2.3,2,4.4,-2.4000000000000004
Iran,1,2.5,5,3.8,6,6.3,-0.2999999999999998
Japan,5,5.1,6,4.2,11,9.3,1.6999999999999993
Mexico,0,2.0999999999999996,5,6.5,5,8.6,-3.5999999999999996
Morocco,1,3.1999999999999997,7,6.2,8,9.4,-1.4000000000000004
Netherlands,8,4.0,2,0.7,10,4.7,5.3
Nigeria,3,2.3,0,0.7,3,3.0,0.0
Panama,1,0.6,1,1.6,2,2.2,-0.20000000000000018
Peru,0,1.7,2,0.6000000000000001,2,2.3,-0.2999999999999998
Poland,3,3.8000000000000003,2,4.0,5,7.800000000000001,-2.8000000000000007
Portugal,15,8.0,3,4.5,18,12.5,5.5
Qatar,1,1.3,0,0.1,1,1.4000000000000001,-0.40000000000000013
Russia,10,3.9,1,1.1,11,5.0,6.0
Saudi Arabia,3,3.7,2,2.3,5,6.0,-1.0
Senegal,0,1.4,9,6.1,9,7.5,1.5
Serbia,3,3.6,4,3.0,7,6.6,0.40000000000000036
South Korea,7,6.1,1,1.4,8,7.5,0.5
Spain,11,8.8,5,5.5,16,14.3,1.6999999999999993
Sweden,2,4.1,4,3.3,6,7.3999999999999995,-1.3999999999999995
Switzerland,3,2.8,7,7.9,10,10.7,-0.6999999999999993
Tunisia,2,2.4,4,4.1,6,6.5,-0.5
United States,1,0.8,2,3.3,3,4.1,-1.0999999999999996
Uruguay,6,6.2,3,4.7,9,10.9,-1.9000000000000004
Wales,0,1.2,1,1.5,1,2.7,-1.7000000000000002
